time,up_preprocessed,octez_validator_block_worker_error_count_preprocessed,ocaml_gc_allocated_bytes_preprocessed,octez_p2p_connections_active_preprocessed,process_cpu_seconds_total_preprocessed,octez_store_last_merge_time_preprocessed,octez_validator_chain_synchronisation_status_preprocessed,octez_validator_chain_is_bootstrapped_preprocessed,octez_validator_peer_system_error_preprocessed,octez_validator_peer_unavailable_protocol_preprocessed,octez_validator_peer_unknown_error_preprocessed,octez_p2p_swap_fail_preprocessed,octez_store_invalid_blocks_preprocessed,process_start_time_seconds_preprocessed
0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251.051214,,,,,,,,,,,,,,0.0
251.076418,,,,,,,,,,,,,0.0,
251.093698,,,,,,,,,,,,0.0,,
251.1164,,,,,,,,,,,0.0,,,
251.135147,,,,,,,,,,0.0,,,,
251.162761,,,,,,,,,0.0,,,,,
251.188599,,,,,,,,0.0,,,,,,
251.217454,,,,,,,0.0,,,,,,,
251.237937,,,,,,1.0,,,,,,,,
251.26415,,,,,0.001810113909276434,,,,,,,,,
251.286212,,,,0.8181818181818183,,,,,,,,,,
251.309246,,,0.0016245815521895857,,,,,,,,,,,
251.3374,0.0,,,,,,,,,,,,,
251.372693,,0.0,,,,,,,,,,,,
261.290805,,,,,,,,,,,,,,0.0
261.317223,,,,,,,,,,,,,0.0,
261.336386,,,,,,,,,,,,0.0,,
261.360205,,,,,,,,,,,0.0,,,
261.382494,,,,,,,,,,0.0,,,,
261.411633,,,,,,,,,0.0,,,,,
261.438993,,,,,,,,0.0,,,,,,
261.471077,,,,,,,0.0,,,,,,,
261.493969,,,,,,1.0,,,,,,,,
261.523445,,,,,0.0018819219729661052,,,,,,,,,
261.548232,,,,0.8181818181818183,,,,,,,,,,
261.571397,,,0.0016878861600629902,,,,,,,,,,,
261.601299,0.0,,,,,,,,,,,,,
261.633432,,0.0,,,,,,,,,,,,
7514.589897,,,,,,,,,,,,,,0.0
7514.618024,,,,,,,,,,,,,0.0,
7514.636774,,,,,,,,,,,,0.027027027027026973,,
7514.662693,,,,,,,,,,,0.0,,,
7514.682405,,,,,,,,,,0.0,,,,
7514.707906,,,,,,,,,0.0,,,,,
7514.73017,,,,,,,,0.0,,,,,,
7514.761727,,,,,,,0.0,,,,,,,
7514.784937,,,,,,1.0,,,,,,,,
7514.814206,,,,,0.05263879231556512,,,,,,,,,
7514.840953,,,,0.7272727272727275,,,,,,,,,,
7514.865457,,,0.048002887645582026,,,,,,,,,,,
7514.894686,0.0,,,,,,,,,,,,,
7514.93313,,0.0,,,,,,,,,,,,
8026.664825,,,,,,,,,,,,,,0.0
8026.692115,,,,,,,,,,,,,0.0,
8026.709983,,,,,,,,,,,,0.027027027027026973,,
8026.73708,,,,,,,,,,,0.0,,,
8026.759046,,,,,,,,,,0.0,,,,
8026.787572,,,,,,,,,0.0,,,,,
8026.815337,,,,,,,,0.0,,,,,,
8026.847103,,,,,,,0.0,,,,,,,
8026.868908,,,,,,1.0,,,,,,,,
8026.899003,,,,,0.056103138087539306,,,,,,,,,
8026.926201,,,,0.36363636363636376,,,,,,,,,,
8026.950281,,,0.05111119866497171,,,,,,,,,,,
8026.979583,0.0,,,,,,,,,,,,,
8027.01765,,0.0,,,,,,,,,,,,
8033.676996,,,,,,,,,,,,,,0.0
8033.70471,,,,,,,,,,,,,0.0,
8033.723799,,,,,,,,,,,,0.027027027027026973,,
8033.751914,,,,,,,,,,,0.0,,,
8033.775572,,,,,,,,,,0.0,,,,
8033.804522,,,,,,,,,0.0,,,,,
8033.832693,,,,,,,,0.0,,,,,,
8033.865217,,,,,,,0.0,,,,,,,
8033.888148,,,,,,1.0,,,,,,,,
8033.918707,,,,,0.056167049829770055,,,,,,,,,
8033.945358,,,,0.36363636363636376,,,,,,,,,,
8033.971168,,,0.05116414944148617,,,,,,,,,,,
8034.002272,0.0,,,,,,,,,,,,,
8034.038994,,0.0,,,,,,,,,,,,
8079.315626,,,,,,,,,,,,,,0.0
8079.33676,,,,,,,,,,,,,0.0,
8079.355802,,,,,,,,,,,,0.027027027027026973,,
8079.383344,,,,,,,,,,,0.0,,,
8079.406055,,,,,,,,,,0.0,,,,
8079.433806,,,,,,,,,0.0,,,,,
8079.459176,,,,,,,,0.0,,,,,,
8079.491733,,,,,,,0.0,,,,,,,
8079.513593,,,,,,1.0,,,,,,,,
8079.543828,,,,,0.05649601170718643,,,,,,,,,
8079.570956,,,,0.36363636363636376,,,,,,,,,,
8079.594142,,,0.05146348366571074,,,,,,,,,,,
8079.623749,0.0,,,,,,,,,,,,,
8079.662312,,0.0,,,,,,,,,,,,
8103.461932,,,,,,,,,,,,,,0.0
8103.483564,,,,,,,,,,,,,0.0,
8103.495846,,,,,,,,,,,,0.027027027027026973,,
8103.516229,,,,,,,,,,,0.0,,,
8103.53243,,,,,,,,,,0.0,,,,
8103.557933,,,,,,,,,0.0,,,,,
8103.582501,,,,,,,,0.0,,,,,,
8103.609871,,,,,,,0.0,,,,,,,
8103.626542,,,,,,1.0,,,,,,,,
8103.654931,,,,,0.056720725692635865,,,,,,,,,
8103.679885,,,,0.36363636363636376,,,,,,,,,,
8103.700626,,,0.051693024079286554,,,,,,,,,,,
8103.728241,0.0,,,,,,,,,,,,,
8103.760529,,0.0,,,,,,,,,,,,
8145.836956,,,,,,,,,,,,,,0.0
8145.861023,,,,,,,,,,,,,0.0,
8145.87867,,,,,,,,,,,,0.027027027027026973,,
8145.904597,,,,,,,,,,,0.0,,,
8145.923545,,,,,,,,,,0.0,,,,
8145.946796,,,,,,,,,0.0,,,,,
8145.97097,,,,,,,,0.0,,,,,,
8145.997953,,,,,,,0.0,,,,,,,
8146.018406,,,,,,1.0,,,,,,,,
8146.04673,,,,,0.05697948628554317,,,,,,,,,
8146.07207,,,,0.40909090909090917,,,,,,,,,,
8146.095498,,,0.051928510745975265,,,,,,,,,,,
8146.123468,0.0,,,,,,,,,,,,,
8146.158459,,0.0,,,,,,,,,,,,
8205.582327,,,,,,,,,,,,,,0.0
8205.610479,,,,,,,,,,,,,0.0,
8205.631047,,,,,,,,,,,,0.027027027027026973,,
8205.658481,,,,,,,,,,,0.0,,,
8205.681331,,,,,,,,,,0.0,,,,
8205.710696,,,,,,,,,0.0,,,,,
8205.737899,,,,,,,,0.0,,,,,,
8205.771058,,,,,,,0.0,,,,,,,
8205.793792,,,,,,1.0,,,,,,,,
8205.82345,,,,,0.05744628322772638,,,,,,,,,
8205.847278,,,,0.5,,,,,,,,,,
8205.871539,,,0.05234839076202247,,,,,,,,,,,
8205.902807,0.0,,,,,,,,,,,,,
8205.941025,,0.0,,,,,,,,,,,,
8266.031415,,,,,,,,,,,,,,0.0
8266.057195,,,,,,,,,,,,,0.0,
8266.068018,,,,,,,,,,,,0.027027027027026973,,
8266.095492,,,,,,,,,,,0.0,,,
8266.113389,,,,,,,,,,0.0,,,,
8266.142323,,,,,,,,,0.0,,,,,
8266.168455,,,,,,,,0.0,,,,,,
8266.198991,,,,,,,0.0,,,,,,,
8266.221267,,,,,,1.0,,,,,,,,
8266.251073,,,,,0.05791563465069771,,,,,,,,,
8266.277857,,,,0.5,,,,,,,,,,
8266.301568,,,0.05277965914015004,,,,,,,,,,,
8266.330177,0.0,,,,,,,,,,,,,
8266.361716,,0.0,,,,,,,,,,,,
8326.451086,,,,,,,,,,,,,,0.0
8326.478565,,,,,,,,,,,,,0.0,
8326.498177,,,,,,,,,,,,0.027027027027026973,,
8326.525379,,,,,,,,,,,0.0,,,
8326.547114,,,,,,,,,,0.0,,,,
8326.57533,,,,,,,,,0.0,,,,,
8326.604238,,,,,,,,0.0,,,,,,
8326.63652,,,,,,,0.0,,,,,,,
8326.659141,,,,,,1.0,,,,,,,,
8326.68944,,,,,0.058319406387148276,,,,,,,,,
8326.716405,,,,0.5,,,,,,,,,,
8326.739581,,,0.05314090114810077,,,,,,,,,,,
8326.770501,0.0,,,,,,,,,,,,,
8326.808814,,0.0,,,,,,,,,,,,
